,,,,,,,M.R.T. CHALOEM RATCHAMONGKON LINE,,,,,,,,,,,,,3/21/1998,3/28/1998,4/3/1998,4/10/1998,4/21/1998,4/28/1998,5/14/1998,5/19/1998,5/22/1998,6/2/1998,6/9/1998,6/16/1998,6/25/1998,6/30/1998,7/7/1998,7/14/1998,7/21/1998,7/28/1998,8/4/1998,8/6/1998,8/8/1998,8/11/1998,8/14/1998,8/17/1998,8/20/1998,8/22/1998,8/25/1998,8/27/1998,8/31/1998,9/4/1998,9/11/1998,9/14/1998,9/18/1998,9/25/1998,10/2/1998,10/9/1998,10/16/1998,10/27/1998,10/30/1998,11/3/1998,11/11/1998,11/13/1998,11/19/1998,11/24/1998,12/1/1998,12/8/1998,12/15/1998,12/22/1998,12/29/1998,1/8/1999,1/15/1999,1/22/1999,1/29/1999,2/1/1999,2/3/1999,2/5/1999,2/8/1999,2/10/1999,2/12/1999,2/15/1999,2/17/1999,2/19/1999,2/22/1999,2/24/1999,2/26/1999,3/2/1999,3/4/1999,3/6/1999,3/9/1999,3/11/1999,3/13/1999,3/16/1999,3/18/1999,3/20/1999,3/23/1999,3/25/1999,3/27/1999,3/30/1999,4/1/1999,4/3/1999,4/7/1999,4/9/1999,4/16/1999,4/19/1999,4/21/1999,4/23/1999,4/26/1999,4/28/1999,4/30/1999,5/4/1999,5/7/1999,5/10/1999,5/12/1999,5/15/1999,5/18/1999,5/20/1999,5/22/1999,5/25/1999,5/27/1999,5/31/1999,6/2/1999,6/4/1999,6/7/1999,6/9/1999,6/11/1999,6/14/1999,6/16/1999,6/18/1999,6/21/1999,6/23/1999,6/25/1999,6/28/1999,6/30/1999,7/2/1999,7/5/1999,7/7/1999,7/9/1999,7/12/1999,7/14/1999,7/16/1999,7/19/1999,7/21/1999,7/23/1999,7/26/1999,7/29/1999,7/31/1999,8/3/1999,8/5/1999,8/7/1999,8/10/1999,8/13/1999,8/16/1999,8/18/1999,8/20/1999,8/23/1999,8/25/1999,8/27/1999,8/30/1999,9/1/1999,9/3/1999,9/6/1999,9/8/1999,9/13/1999,9/22/1999,9/27/1999,10/4/1999,10/11/1999,10/18/1999,10/21/1999
,,,,,,,Contract1 : UNDERGROUND STRUCTURES-SOUTH,,,,,,,Checked by: __________________,,,,,BS-5-R-01-01,0.49 ,-7.37 ,-8.52 ,,,-9.80 ,-12.82 ,-13.97 ,-13.31 ,-10.93 ,-13.19 ,-12.63 ,-12.83 ,-13.79 ,-14.25 ,-16.70 ,-15.37 ,-16.48 ,-17.16 ,-17.70 ,-16.80 ,-17.28 ,-18.07 ,-18.08 ,-19.78 ,-19.32 ,-20.40 ,-19.42 ,-20.47 ,,,-18.72 ,-22.09 ,,-24.28 ,-24.29 ,-26.22 ,-28.55 ,-27.18 ,-26.59 ,-27.31 ,-26.69 ,-26.19 ,-24.58 ,-25.48 ,-27.26 ,-28.78 ,-27.65 ,-29.88 ,-29.90 ,-31.18 ,-32.35 ,-31.77 ,-31.15 ,-33.19 ,-34.56 ,-33.93 ,-32.68 ,-32.59 ,-33.64 ,-33.42 ,-33.65 ,-33.53 ,-33.43 ,-32.43 ,-31.93 ,-32.28 ,-32.98 ,-32.48 ,-31.93 ,-32.22 ,-32.36 ,-33.32 ,-34.19 ,-33.35 ,-32.33 ,-33.99 ,-33.98 ,-34.22 ,-31.60 ,-31.79 ,-32.04 ,-32.03 ,-31.47 ,-31.45 ,-32.09 ,-32.34 ,-33.05 ,-33.56 ,-34.34 ,-33.63 ,-34.01 ,-34.87 ,-35.07 ,-35.20 ,-35.26 ,-35.20 ,-35.91 ,-35.53 ,-35.50 ,-36.07 ,-36.72 ,-36.53 ,-37.32 ,-37.96 ,-38.49 ,-38.95 ,-38.52 ,-38.31 ,-39.13 ,-38.91 ,-38.72 ,-39.20 ,-38.98 ,-39.50 ,-40.15 ,-40.33 ,-40.76 ,-41.64 ,-41.36 ,-41.71 ,-41.85 ,-41.72 ,-42.72 ,-43.54 ,-43.43 ,-43.85 ,-44.68 ,-45.00 ,-45.68 ,-45.90 ,-46.25 ,-46.61 ,-47.14 ,-47.44 ,-48.25 ,-48.57 ,-48.73 ,-49.39 ,-50.03 ,-50.41 ,-50.28 ,-50.58 ,-51.00 ,,-51.55 ,-51.63 ,-51.18 ,-50.89 
,,,,,,,Contractor: ,,,JV BCKT,,,,,,,,,BS-5-R-01-02,0.00 ,,,,,-6.17 ,-8.24 ,-9.47 ,-9.36 ,-7.00 ,-11.41 ,-9.19 ,-8.58 ,-8.83 ,-8.58 ,-8.95 ,-10.65 ,-12.18 ,-12.65 ,-13.84 ,-13.13 ,-13.46 ,-14.82 ,-14.89 ,-15.07 ,,-16.44 ,-16.63 ,-16.32 ,-17.61 ,-16.49 ,-14.97 ,-17.39 ,-19.95 ,-21.77 ,-21.54 ,-22.53 ,-23.64 ,-25.16 ,-24.55 ,-24.36 ,-23.43 ,-23.19 ,-22.13 ,,-22.97 ,-23.67 ,-25.16 ,-25.07 ,-25.07 ,-25.55 ,-27.26 ,-26.61 ,-27.65 ,-29.09 ,-29.13 ,-29.16 ,-29.73 ,-30.29 ,-28.54 ,-28.79 ,-30.11 ,-30.23 ,-32.23 ,-34.28 ,-33.58 ,-32.87 ,-32.03 ,-31.64 ,-32.12 ,-32.39 ,-33.04 ,-33.25 ,-34.73 ,-35.21 ,-33.77 ,-34.86 ,-33.99 ,-33.53 ,-34.80 ,-35.18 ,-35.01 ,-34.53 ,-34.48 ,-34.65 ,-34.68 ,-34.57 ,-35.15 ,-34.77 ,-34.55 ,-33.94 ,-33.49 ,-33.77 ,-34.75 ,-34.19 ,-34.67 ,-35.01 ,-35.28 ,-34.89 ,-35.40 ,-36.14 ,-36.43 ,-36.44 ,-36.79 ,-37.34 ,-38.37 ,-38.93 ,-39.33 ,-39.21 ,-39.48 ,-40.17 ,-40.05 ,-40.33 ,-40.24 ,-40.36 ,-41.29 ,-41.47 ,-41.10 ,-41.55 ,-41.83 ,-42.42 ,-42.93 ,-43.63 ,-44.09 ,-44.50 ,-45.23 ,-45.40 ,-45.84 ,-45.73 ,-46.16 ,-46.71 ,-47.01 ,-47.58 ,-47.70 ,-48.80 ,-49.62 ,-49.67 ,-50.86 ,-51.09 ,-51.63 ,-52.21 ,-51.94 ,-52.74 ,-53.26 ,-53.78 ,-54.63 ,-54.95 ,-54.53 ,-54.38 
,,,,,,,Construction Office: ,,,2,,,,Rechecked by : _________________,,,,,BS-5-R-01-03,0.00 ,-1.43 ,-1.44 ,-4.32 ,,,,,,-4.03 ,-4.10 ,,,,,-2.04 ,-3.16 ,,,,,,,,-3.16 ,-3.36 ,-2.82 ,-3.42 ,-3.11 ,-4.58 ,-5.55 ,-3.30 ,-7.02 ,-6.85 ,-6.61 ,-7.44 ,-7.43 ,-9.50 ,-8.99 ,-8.18 ,-7.80 ,-6.74 ,-8.36 ,-7.59 ,,-6.03 ,-7.32 ,-7.42 ,-8.15 ,-10.22 ,-11.93 ,-11.55 ,-11.58 ,-11.51 ,-12.30 ,-11.57 ,-10.95 ,-12.46 ,-12.42 ,-13.04 ,-11.73 ,-12.64 ,-14.77 ,,,,-15.35 ,-13.94 ,-14.18 ,,,-13.07 ,,,,,,,,,-13.41 ,,,-13.47 ,-14.98 ,-14.25 ,,-14.96 ,-15.45 ,-16.66 ,-16.67 ,-17.74 ,-18.07 ,-17.65 ,-18.41 ,-18.60 ,-19.57 ,-19.50 ,-19.62 ,-20.34 ,-20.61 ,,-20.29 ,,-20.75 ,-20.13 ,-20.42 ,-20.66 ,-20.07 ,-21.51 ,-21.66 ,-21.83 ,-22.53 ,-22.62 ,-22.92 ,-23.98 ,,-24.67 ,,-25.19 ,-25.41 ,-25.29 ,-25.79 ,-26.07 ,-26.07 ,-26.90 ,-28.09 ,-29.92 ,-30.43 ,-30.64 ,-31.21 ,-32.41 ,-32.17 ,-32.95 ,-33.48 ,-34.23 ,-34.50 ,-34.87 ,-35.19 ,-35.58 ,-35.35 ,-35.52 ,-35.91 ,-36.69 ,,-35.92 ,-36.46 ,,-36.94 
,,,,,,,Subcontractor: ,,,LEO JOVIAN,,,,,,,,,BS-5-R-01-04,,,,,,,,,0.76 ,-2.24 ,-2.58 ,,,,0.54 ,1.23 ,,,,-1.63 ,-0.46 ,-0.84 ,,-0.73 ,,,,,,,,-0.08 ,-3.06 ,,,-2.82 ,,,,-1.19 ,,,,,,,,,,,,,-1.45 ,-1.19 ,-2.67 ,-4.10 ,,,,,,,,-5.70 ,-5.89 ,,,,,,,-6.09 ,,,-7.65 ,,,,,,-8.02 ,,,,-9.10 ,,,,,,,,-10.24 ,,,,,,,,,,,,-10.24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Location:    ,,,BONKAI STATION,,,,,,,,,BS-5-R-01-05,0.15 ,0.88 ,0.00 ,-1.00 ,-0.73 ,-3.37 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Type of Instrument & No. :,,,Building Settlement Pts;BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Readout No.: ,,,"Topcon, AT-G2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Date of Issue : ,,1/25/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Note: BS-5-R-01-03 reinstslled on 20/08/98.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Last Reading,10/21/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,(mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,BS-5-R-01-01,-50.89 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,BS-5-R-01-02,-54.38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,BS-5-R-01-03,-36.94 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,BS-5-R-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,BS-5-R-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Initial Reading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,3/21/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,(m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,BS-5-R-01-01,101.15600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,BS-5-R-01-02,101.44586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,BS-5-R-01-03(20/08/98),101.26479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,BS-5-R-01-04,101.28200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,BS-5-R-01-05,102.01048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
